ENEMY-DIST	TV-DIST	CAN-ACT	R-ACTION
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
HIGH	HIGH	TRUE	WANDER
